BikeId;Rental Start Date;Rental End Date;Duration;Fare (in Cents);Starting Location;Ending Location;Rough Distance (KM)
1060;29.11.2021 14:13;29.11.2021 14:45;00:32:26;200;37.892617,32.478032;37.86180114746094,32.445350646972656;4.468689888
1236;29.11.2021 11:57;29.11.2021 12:07;00:09:53;50;38.0225407,32.5125261;38.009178161621094,32.527618408203125;1.988920585
1258;29.11.2021 09:26;29.11.2021 09:58;00:31:53;200;37.9474258,32.5221644;37.947479248046875,32.52212905883789;0.006702558
1054;29.11.2021 09:23;29.11.2021 09:25;00:02:02;50;37.9475989,32.5221493;37.94742965698242,32.52212905883789;0.018902475
1143;29.11.2021 07:19;29.11.2021 07:48;00:29:05;200;37.8658457,32.4889426;37.86576843261719,32.48896026611328;0.008730575
1078;28.11.2021 23:21;28.11.2021 23:48;00:27:16;200;37.97909171606245,32.51717713156877;37.94987106323242,32.51335906982422;3.266382788
1066;28.11.2021 22:56;28.11.2021 23:12;00:15:48;200;37.870726447952656,32.48351525717479;37.870689392089844,32.48353958129883;0.004640748
1235;28.11.2021 22:53;28.11.2021 23:47;00:54:06;200;38.0137739,32.5212237;37.94963073730469,32.51319885253906;7.166988768
1233;28.11.2021 22:50;28.11.2021 22:52;00:01:50;50;38.0136927,32.521365;38.01380157470703,32.5211296081543;0.023912811
1272;28.11.2021 22:50;28.11.2021 23:17;00:27:37;200;38.01376856685996,32.52117103280556;37.979061126708984,32.51715850830078;3.875274916
1106;28.11.2021 22:39;28.11.2021 23:47;01:08:21;200;38.0137395,32.5212009;37.949798583984375,32.51335144042969;7.143111932
1039;28.11.2021 22:38;28.11.2021 22:48;00:09:27;50;38.0138402,32.5210687;38.012969970703125,32.52143859863281;0.102047077
1065;28.11.2021 22:13;28.11.2021 22:39;00:25:20;200;37.9042857,32.4954416;37.92448043823242,32.5076904296875;2.489400996
1063;28.11.2021 22:11;28.11.2021 22:11;00:00:56;0;37.9042801,32.4954023;37.904380798339844,32.495361328125;0.011760028
1063;28.11.2021 22:08;28.11.2021 22:10;00:01:16;50;37.9043036,32.4954357;37.904380798339844,32.495361328125;0.010782574
1052;28.11.2021 21:57;28.11.2021 21:59;00:01:33;50;37.8536642,32.4234761;37.85363006591797,32.4233283996582;0.013511751
1183;28.11.2021 21:07;28.11.2021 21:15;00:07:35;50;37.87765964140054,32.48308140568484;37.86716842651367,32.48432159423828;1.171637842
1100;28.11.2021 20:49;28.11.2021 20:52;00:03:15;50;38.0094572,32.5225619;38.009490966796875,32.522621154785156;0.0064069
1064;28.11.2021 20:48;28.11.2021 22:10;01:22:45;350;37.8955889,32.5060965;37.89561080932617,32.506038665771484;0.005629274
1242;28.11.2021 20:46;28.11.2021 20:48;00:01:49;50;38.0094989,32.5225638;38.00947952270508,32.522579193115234;0.00254191
1171;28.11.2021 20:39;28.11.2021 21:04;00:24:51;200;37.8997586,32.4900804;37.87392044067383,32.48973083496094;2.873236003
1287;28.11.2021 20:30;28.11.2021 21:04;00:33:51;200;37.8997632,32.4900092;37.87405014038086,32.48965072631836;2.859334841
1303;28.11.2021 19:56;28.11.2021 20:05;00:09:06;50;37.9473876,32.5221299;37.9497184753418,32.513301849365234;0.816318695
1295;28.11.2021 19:14;28.11.2021 21:12;01:57:52;350;37.9473881,32.5221412;37.94736862182617,32.52207946777344;0.005830257
1175;28.11.2021 19:02;28.11.2021 19:41;00:38:38;200;37.9790502,32.5171782;37.949790954589844,32.513389587402344;3.270388361
1052;28.11.2021 18:09;28.11.2021 18:35;00:26:01;200;37.86445171404124,32.45361509240654;37.85371017456055,32.423248291015625;2.921263422
1310;28.11.2021 17:12;28.11.2021 17:35;00:23:15;200;37.84866691570529,32.49910069632577;37.876609802246094,32.47394943237305;3.811710787
1052;28.11.2021 17:09;28.11.2021 17:32;00:22:22;200;37.8643914959046,32.45356426352403;37.86442184448242,32.453651428222656;0.008362818
1043;28.11.2021 16:53;28.11.2021 18:07;01:13:08;350;37.853654463154676,32.42331300657115;37.8643913269043,32.45355987548828;2.911446583
1295;28.11.2021 16:21;28.11.2021 18:14;01:52:51;350;37.9496667,32.5133771;37.94731903076172,32.522071838378906;0.805846281
